player_id,position_id,number,captain,injured,minutes,appearences,lineups,substitute_in,substitute_out,substitutes_on_bench,goals,owngoals,assists,saves,inside_box_saves,dispossesed,interceptions,yellowcards,yellowred,redcards,tackles,blocks,hit_post,cleansheets,rating,fouls,crosses,dribbles,duels,passes,penalties,shots
35574,2,2,0,False,540,6,6,0,0,1,1,,0,,,,6,1,0,0,11,2,,3,6.90,"{'committed': 9, 'drawn': 5}","{'total': 10, 'accurate': 3}","{'attempts': 6, 'success': 2, 'dribbled_past': 6}","{'total': 54, 'won': 29}","{'total': 265, 'accuracy': 78, 'key_passes': 2}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 4, 'shots_on_target': 2, 'shots_off_target': None}"
95807,2,4,1,False,630,7,7,0,0,0,1,,0,,,,5,0,0,0,1,4,,4,7.13,"{'committed': 2, 'drawn': 1}","{'total': None, 'accurate': None}","{'attempts': 2, 'success': 2, 'dribbled_past': None}","{'total': 46, 'won': 31}","{'total': 333, 'accuracy': 85, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 4, 'shots_on_target': 1, 'shots_off_target': None}"
32403,4,11,0,False,165,4,2,2,2,5,0,,0,,,,2,0,0,0,3,,,3,6.80,"{'committed': 1, 'drawn': 1}","{'total': 9, 'accurate': None}","{'attempts': 4, 'success': 2, 'dribbled_past': None}","{'total': 19, 'won': 11}","{'total': 64, 'accuracy': 89, 'key_passes': 2}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 3, 'shots_on_target': None, 'shots_off_target': None}"
798,4,9,0,False,546,7,6,1,2,1,0,,1,,,,2,1,0,0,3,,,4,6.79,"{'committed': 14, 'drawn': 4}","{'total': 2, 'accurate': None}","{'attempts': 5, 'success': 3, 'dribbled_past': 4}","{'total': 86, 'won': 39}","{'total': 130, 'accuracy': 70, 'key_passes': 7}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 13, 'shots_on_target': None, 'shots_off_target': None}"
185658,4,7,0,False,571,7,7,0,5,0,4,,2,,,,1,0,0,0,8,,1,4,7.43,"{'committed': 6, 'drawn': 11}","{'total': 21, 'accurate': 5}","{'attempts': 11, 'success': 8, 'dribbled_past': 12}","{'total': 70, 'won': 34}","{'total': 233, 'accuracy': 73, 'key_passes': 10}","{'won': 1, 'scores': 3, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 22, 'shots_on_target': 11, 'shots_off_target': None}"
96611,4,10,0,False,534,7,6,1,3,1,4,,0,,,,2,2,0,0,6,,,4,7.34,"{'committed': 1, 'drawn': 14}","{'total': 11, 'accurate': 3}","{'attempts': 53, 'success': 32, 'dribbled_past': 1}","{'total': 95, 'won': 54}","{'total': 151, 'accuracy': 76, 'key_passes': 9}","{'won': 1, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 8, 'shots_on_target': 7, 'shots_off_target': None}"
95393,1,23,0,False,,,,,,7,,,,,,,,,,,,,,0,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
4728,1,16,0,False,90,1,1,,,6,,,,2,1,,,,,,,,,1,7.50,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': 1, 'won': 1}","{'total': 22, 'accuracy': 77, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
1014,1,1,6,False,540,6,6,,,1,,,,13,9,,,,,,,,,3,6.73,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': 1, 'won': 1}","{'total': 153, 'accuracy': 59, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
96573,2,3,0,False,90,1,1,,,6,,,,,,,,,,,1,,,1,7.40,"{'committed': 1, 'drawn': 2}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': 13, 'won': 6}","{'total': 73, 'accuracy': 94, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
95496,2,5,0,False,540,6,6,,,1,1,,,,,,5,,,,3,2,,3,6.83,"{'committed': 6, 'drawn': 9}","{'total': None, 'accurate': None}","{'attempts': 2, 'success': 2, 'dribbled_past': 2}","{'total': 36, 'won': 24}","{'total': 207, 'accuracy': 88, 'key_passes': 1}","{'won': None, 'scores': None, 'missed': None, 'committed': 1, 'saves': None}","{'shots_total': 2, 'shots_on_target': 1, 'shots_off_target': None}"
94649,2,17,0,False,,,,,,7,,,,,,,,,,,,,,0,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
95699,2,19,0,False,90,1,1,,,6,,,,,,,2,,,,1,,,1,7.60,"{'committed': 1, 'drawn': None}","{'total': 6, 'accurate': 1}","{'attempts': None, 'success': None, 'dribbled_past': 1}","{'total': 8, 'won': 5}","{'total': 91, 'accuracy': 86, 'key_passes': 3}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
186797,2,21,0,False,590,7,7,,1,,,,2,,,,5,2,,,7,1,,4,6.70,"{'committed': 8, 'drawn': 15}","{'total': 10, 'accurate': 3}","{'attempts': 12, 'success': 6, 'dribbled_past': 7}","{'total': 81, 'won': 47}","{'total': 205, 'accuracy': 77, 'key_passes': 4}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 5, 'shots_on_target': 1, 'shots_off_target': None}"
96183,2,22,0,False,40,1,,1,,7,,,,,,,,,,,,,,1,6.80,"{'committed': None, 'drawn': None}","{'total': 8, 'accurate': 2}","{'attempts': None, 'success': None, 'dribbled_past': 1}","{'total': 1, 'won': None}","{'total': 26, 'accuracy': 88, 'key_passes': 1}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
1992,3,6,0,False,539,6,6,,1,1,1,,,,,,6,1,,,11,1,1,3,7.27,"{'committed': 14, 'drawn': 17}","{'total': 1, 'accurate': None}","{'attempts': 10, 'success': 8, 'dribbled_past': 9}","{'total': 107, 'won': 59}","{'total': 307, 'accuracy': 82, 'key_passes': 9}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 7, 'shots_on_target': 2, 'shots_off_target': None}"
96247,3,8,0,False,90,1,1,,,6,,,,,,,,,,,,,,1,6.90,"{'committed': 1, 'drawn': 1}","{'total': 2, 'accurate': 1}","{'attempts': 2, 'success': 2, 'dribbled_past': 1}","{'total': 7, 'won': 3}","{'total': 51, 'accuracy': 94, 'key_passes': 2}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 1, 'shots_on_target': None, 'shots_off_target': None}"
96122,3,12,0,False,194,5,2,3,2,5,,,1,,,,5,1,,,1,,,2,6.66,"{'committed': 3, 'drawn': 6}","{'total': 1, 'accurate': None}","{'attempts': 3, 'success': 1, 'dribbled_past': 4}","{'total': 29, 'won': 12}","{'total': 133, 'accuracy': 83, 'key_passes': 2}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 2, 'shots_on_target': 1, 'shots_off_target': None}"
1193,3,13,0,False,595,7,7,,1,,,,,,,,21,2,,,11,1,,4,6.89,"{'committed': 11, 'drawn': 4}","{'total': 1, 'accurate': None}","{'attempts': 9, 'success': 6, 'dribbled_past': 8}","{'total': 60, 'won': 28}","{'total': 360, 'accuracy': 85, 'key_passes': 2}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 1, 'shots_on_target': None, 'shots_off_target': None}"
94396,3,14,0,False,336,5,4,1,3,2,,,,,,,8,2,,,10,,,2,6.70,"{'committed': 11, 'drawn': 5}","{'total': 6, 'accurate': None}","{'attempts': 3, 'success': None, 'dribbled_past': 4}","{'total': 57, 'won': 25}","{'total': 112, 'accuracy': 86, 'key_passes': 3}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 5, 'shots_on_target': 1, 'shots_off_target': None}"
272,3,15,0,False,141,5,1,4,,6,,,,,,,3,,,,2,1,,4,6.85,"{'committed': None, 'drawn': 2}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': 22, 'won': 15}","{'total': 99, 'accuracy': 94, 'key_passes': 1}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
4237,3,20,0,False,1,1,,1,,7,,,,,,,,,,,,,,0,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': 1, 'won': None}","{'total': 1, 'accuracy': 100, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
96125,3,18,0,False,69,6,,6,,7,,,,,,,,,,,2,,,3,6.74,"{'committed': 3, 'drawn': 6}","{'total': 3, 'accurate': 1}","{'attempts': 6, 'success': 4, 'dribbled_past': 2}","{'total': 26, 'won': 16}","{'total': 37, 'accuracy': 65, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 4, 'shots_on_target': 2, 'shots_off_target': None}"
